batch,focal_id,hab_km,context_km,n_hab_polys,n_sfer_in_context,n_mir_in_context,file
SFER_context30_hab50,1,50,30,19061,3,0,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_1.png
SFER_context30_hab50,10,50,30,8292,11,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_10.png
SFER_context30_hab50,13,50,30,9464,10,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_13.png
SFER_context30_hab50,16,50,30,11812,11,3,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_16.png
SFER_context30_hab50,19,50,30,12778,7,2,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_19.png
SFER_context30_hab50,24,50,30,13205,5,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_24.png
SFER_context30_hab50,4,50,30,15895,11,3,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_4.png
SFER_context30_hab50,5,50,30,15714,12,3,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_5.png
SFER_context30_hab50,7,50,30,8971,10,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_7.png
SFER_context30_hab50,EK_IN,50,30,21389,5,3,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_EK_IN.png
SFER_context30_hab50,UK_IN,50,30,10341,12,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context30_hab50/SFER_context30_hab50_hab50km_ctx30km_UK_IN.png
SFER_context10_hab25_zoom,1,25,10,12552,3,0,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_1.png
SFER_context10_hab25_zoom,10,25,10,3420,3,0,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_10.png
SFER_context10_hab25_zoom,13,25,10,2622,3,0,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_13.png
SFER_context10_hab25_zoom,16,25,10,3828,3,0,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_16.png
SFER_context10_hab25_zoom,19,25,10,7559,3,2,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_19.png
SFER_context10_hab25_zoom,24,25,10,6661,3,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_24.png
SFER_context10_hab25_zoom,4,25,10,5488,4,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_4.png
SFER_context10_hab25_zoom,5,25,10,5393,6,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_5.png
SFER_context10_hab25_zoom,7,25,10,3546,3,0,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_7.png
SFER_context10_hab25_zoom,EK_IN,25,10,10598,3,0,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_EK_IN.png
SFER_context10_hab25_zoom,UK_IN,25,10,4807,3,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/SFER_context10_hab25_zoom/SFER_context10_hab25_zoom_hab25km_ctx10km_UK_IN.png
MIR_context5_hab10,EDR,10,5,1444,2,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context5_hab10/MIR_context5_hab10_hab10km_ctx5km_EDR.png
MIR_context5_hab10,Looe,10,5,901,2,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context5_hab10/MIR_context5_hab10_hab10km_ctx5km_Looe.png
MIR_context5_hab10,NFH,10,5,1831,1,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context5_hab10/MIR_context5_hab10_hab10km_ctx5km_NFH.png
MIR_context5_hab10,Sombrero,10,5,682,0,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context5_hab10/MIR_context5_hab10_hab10km_ctx5km_Sombrero.png
MIR_context5_hab10,Horseshoe,10,5,1525,0,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context5_hab10/MIR_context5_hab10_hab10km_ctx5km_Horseshoe.png
MIR_context5_hab10,Cheeca,10,5,934,0,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context5_hab10/MIR_context5_hab10_hab10km_ctx5km_Cheeca.png
MIR_context5_hab10,Carysfort South,10,5,1635,0,2,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context5_hab10/MIR_context5_hab10_hab10km_ctx5km_Carysfort_South.png
MIR_context5_hab10,Carysfort North,10,5,1720,0,2,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context5_hab10/MIR_context5_hab10_hab10km_ctx5km_Carysfort_North.png
MIR_context10_hab10,EDR,20,10,3906,4,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context10_hab10/MIR_context10_hab10_hab20km_ctx10km_EDR.png
MIR_context10_hab10,Looe,20,10,4022,4,2,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context10_hab10/MIR_context10_hab10_hab20km_ctx10km_Looe.png
MIR_context10_hab10,NFH,20,10,4719,3,2,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context10_hab10/MIR_context10_hab10_hab20km_ctx10km_NFH.png
MIR_context10_hab10,Sombrero,20,10,1702,3,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context10_hab10/MIR_context10_hab10_hab20km_ctx10km_Sombrero.png
MIR_context10_hab10,Horseshoe,20,10,4425,4,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context10_hab10/MIR_context10_hab10_hab20km_ctx10km_Horseshoe.png
MIR_context10_hab10,Cheeca,20,10,2802,3,1,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context10_hab10/MIR_context10_hab10_hab20km_ctx10km_Cheeca.png
MIR_context10_hab10,Carysfort South,20,10,5849,0,2,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context10_hab10/MIR_context10_hab10_hab20km_ctx10km_Carysfort_South.png
MIR_context10_hab10,Carysfort North,20,10,6256,1,2,docs/Outputs_sfer_habitat_maps/run_20260212_0926/Figures/MIR_context10_hab10/MIR_context10_hab10_hab20km_ctx10km_Carysfort_North.png
